smiles,vapour,aerosol,gas
NCc1ccccc1,0.525,,
COc1ccccc1,6.51,,
ClSSCl,2.5,,
Cl[Si](Cl)Cl,1.5,,
Cl[Si](Cl)(Cl)Cl,1312,,
NC1CCCC1,7.7,,
CCCC1CO1,15.53333333,,
ClC\C=C/Cl,707,,
C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1,4.9,,
C=CCOc1nc(OCC=C)nc(OCC=C)n1,0.333,,
CC(=C)C(=O)OC1CCCCC1,55,,
CCCCN(CCCC)CCCC,0.5,,
O=C=Nc1ccccc1,0.022,,
CCCCC(CC)CN,1.548,,
Clc1ccc(C=O)cc1,0.2855,,
CCc1ccc(C)nc1,2.67,,
COc1ccc(C)cc1,6.1,,
CCC1=NCCO1,327.75,,
FC(F)=C(F)OC(F)(F)C(F)(F)F,21000,,
CCC(=O)OC=C,10.2,,
COC(=O)CC(C)=O,16.5,,
CN(C(=S)SSC(=S)N(C)c1ccccc1)c2ccccc2,5.064,,
Clc1ccc(Cl)cc1,5.07,,
CC(C)COC(=O)C=C,10.5,,
CCCBr,35,,
BrCC=C,2.41,,
CCC=C,10000,,
C[Si](C)Cl,4478,,
[Li+].C[Si](C)(C)[O-],3151,,
CCC[Si](OC)(OC)OC,22.2,,
C\C=C\C,10000,,
ClCCCl,7.758,,
CCCN,7.083333333,,
NCC=C,177,,
CCC#N,3.3,,
C=CC#N,943.3333333,,
OCC=C,92.05666667,,
OCC#C,2,,
ClCC=O,0.65,,
COC=O,5.2,,
C[Si](C)(C)O[Si](C)(C)C,15956,,
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,22.6,,
CC(C)(C)OC(=O)CCl,4.738,,
CC(C)CCN,11.23333333,,
CC(C)=CC=O,6.5,,
CN(C)CCO,1641,,
CC(C)CC(C)=O,9.9,,
CC(C)CC(C)O,16,,
CC(C)NC(C)C,5.35,,
CC(=C)OC(C)=O,22,,
CC(C)CC(=O)CC(C)C,14.5,,
Cc1ccccc1,27.93333333,,
Clc1ccccc1,20.4,,
Cc1ccccn1,9.4,,
CC(C)C(=O)OOC(C)(C)C,2.53,,
CN(C)CCCN,4.31,,
CCCC=C,10000,,
CCCCN,4.2,,
COCOC,57,,
CCNCC,5700,,
CCOC=O,28.95,,
C1CCSC1,6270,,
CC(C)COC(C)=O,30,,
CCCCCC(C)=O,16.7,,
CCCCCC,73860,,
CCCCC=O,14.3,,
COCCOC,20,,
CCOCCO,7.36,,
C1CCCCC1,32.88,,
C1COC=CC1,10.7,,
C1OCOCO1,39.2,,
C1CCNCC1,4.8,,
C[NH+](C)CCC[NH+](C)C,502.66,,
CCO[Si](OCC)(OCC)OCC,20,,
CCCCCCN,74.67,,
CCCCOC=C,33.3,,
CCCCN=C=O,0.059,,
ClCCOCCCl,250,,
CC(=O)OCCOC(C)=O,0.845,,
CCCCCCCC(Cl)=O,0.63,,
CCCCCCCC,24.88,,
CCCCCCC=C,8050,,
CCCCCCCCC,17,,
CCCCCCCCS,3.1,,
CCCCNCCCC,218,,
COCCCOCCCOC,792,,
CO[Si](C)(C)OC,4.7,,
CCCCCCCCC(O)=O,5.3,,
CCCCCCCCCCCC,6.1,,
CCCCCCCCCCC=C,8050,,
CCCCCCCCCCCO,0.7,,
CCCCCCCCCCCCCCCCC=C,8050,,
CCCCCCCCCCC,6.1,,
CCCCCCCCCCCCC=C,8050,,
CC(C)=C,10000,,
CC(C)(O)C=C,21.2,,
CC(C)(O)C#C,21.3,,
CC[Si](Cl)(Cl)Cl,1257,,
CO[Si](C)(OC)OC,7605,,
O=C1CCCC1,19.5,,
N12[Si]34N5[Si]16N3[Si]25N46,5.07,,
O.[Pb].O[S](O)(=O)=O,5.05,,
O.O.O.O.[Pb].[Pb].[Pb].[Pb].[Pb].[O-][S]([O-])(=O)=O,5.05,,
CCN(CC)CC,3496,,
[Mn].C[c-]1cccc1.[C-]#[O+].[C-]#[O+].[C-]#[O+],0.1615,,
[Pb++].[O-][S]([O-])(=O)=O.O=[Pb].O=[Pb].O=[Pb],5.05,,
CCCC(C)C=O,8.4,,
CCC=O,4.6,,
CC(=O)CC(C)=O,1224,,
CCCC=O,5.46,,
[H+].[Cl-].C1CCNC1,11.66666667,,
CC1=NNC(=O)N(C1)\N=C\c2cccnc2,1.8,,
CCCCCCCCCC,6.1,,
C[S](Cl)(=O)=O,19.37056667,,
C[Si](Cl)(Cl)C=C,2021,,
CCCCC(CC)CO[P](=O)(Oc1ccccc1)Oc2ccccc2,2.1,,
CCCCCCCCCCCCCCCCCC(=O)O[Pb]O[Pb]O[Pb]OC(=O)CCCCCCCCCCCCCCCCC,5.05,,
[K+].CC([O-])=O,6.95,,
[Na+].CC([O-])=O,5.81,,
[Zn++].CCCCCC[C@@H](O)C\C=C/CCCCCCCC([O-])=O.CCCCCC[C@@H](O)C\C=C/CCCCCCCC([O-])=O,5.7,,
[Cd]=[Te],2.703333333,,
[O--].[O--].[O--].[In+3].[In+3],5,,
O=[Zn],5.7,,
O1[Pb]O[Pb]2O[Pb]1O2,5.05,,
[S--].[S--].[Sn+4],5.02,,
O=[Pb],5.05,,
COC(C(F)(F)F)C(F)(F)F,12434.41,,
CC(CC(C)(C)C)CC(C)(C)C,4.951,,
[Zn].[Zn].O[Si](O)(O)O,5.7,,
CC(CCl)O[P](=O)(OC(C)CCl)OC(C)CCl,7,,
FC(C(F)C(F)(F)C(F)(F)F)C(F)(F)F,114.428,,
[SiH3]N([SiH3])[SiH3],99,,
CC(C)C(C)(N)C#N,24.56,,
CCC(C)N,11.2,,
CCOC(=O)C=C,19.35,,
[Na+].CCOC([S-])=S,7.69,,
CCCCOC(=O)C=C,10.5,,
NCCO,1.3,,
CCC[Si](Cl)(Cl)Cl,1352,,
CCCC(Cl)=O,3.6,,
C1CC=CC1,22.9,,
[Mg++].CC([O-])=O.CC([O-])=O,5.04,,
CCCCCCC,51.395,,
CCCCOCCCC,21.6,,
ClC(=C)CN=C=S,0.152,,
CCCCOCCOCCOCCO,2.4,,
OC(=O)CC(O)(CC(O)=O)C(O)=O.C1CNCCN1,0.005,,
Cc1[nH]ncc1,28,,
C1CN1,0.1,,
FC(F)(F)C(Br)=C,11726,,
[Pb++].[O-]c1c(cc(c([O-])c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,5.05,,
CO[Si](CCCN=C=O)(OC)OC,15,,
Cl\C=C\Cl,24100,,
CC(=O)OC(C=C)C#N,7.866666667,,
CCOCC(C)O,9.59,,
SC1CCCCC1,5.6,,
ClCCCCC(Cl)=O,0.32,,
[Al+3].[O-]c1ccc2cc(ccc2c1N=Nc3ccc(cc3)[S]([O-])(=O)=O)[S]([O-])(=O)=O,1705.881,,
CCO[Si](CC[Si](OCC)(OCC)OCC)(OCC)OCC,26,,
CC(C)(C)N=C=O,1.593,,
CCCCOC(=O)CCS,216.055,,
C\C=C1/CC2CC1C=C2,2866,,
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F,58.7,,
COC(C)(C)C,85,,
CCOP(OCC)c1ccccc1,0.32,,
CC(C)(C)OC(=O)C=C,7.02,,
Cc1ccc(cc1[N+]([O-])=O)[S](C)(=O)=O,5.41,,
CO[Si](C)(OC)C=C,5,,
CO[Si](C)OC,4.6,,
CN(C)CCOCCO,70,,
C1OCC=C1,6,,
COC(=O)C(C)O,5.4,,
CSCCC(O)C#N,0.651,,
CC(=O)C(O)c1ccccc1,0.25,,
FC(F)(C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,1761,,
CO[Si](CC(C)C)(OC)OC,1525,,
CO[Si](CC[Si](OC)(OC)OC)(OC)OC,2.4,,
C[Si](O[Si](C)(C)C)O[Si](C)(C)C,22.6,,
Fc1cccc(F)c1C#N,2.64,,
CC(O)C#C,0.53,,
CCO[Si](C)OCC,2378.7,,
Clc1c(Cl)c(Cl)c2C3=Nc4cccc5cccc(N3C(=O)c2c1Cl)c45,2.868,,
CCCCCCCCCCCCOC(=O)C=C,0.69,,
C=COC1CCCCC1,22.007,,
Cc1ccccc1OCC2CO2,6.1,,
C=CN1CCCCCC1=O,1.6,,
[H+].[Cl-].CC(N)CCc1ccccc1,5,,
CC(=C)[C@H]1CC=C(C)C(=O)C1,5.66,,
SCCC(=O)OCCOC(=O)CCS,216.055,,
CO[Si](C)(CC(C)CNCCN)OC,0.6,,
FC(F)(F)OC(F)(Cl)C(F)(F)Cl,21.98,,
[Mg++].CC[O-].CC[O-],60000,,
CC\C(C)=C\CCC(C)=O,10.47,,
Nc1c(Cl)cc(cc1Cl)C(F)(F)F,1.8,,
ClCC(Cl)C(Cl)=C,0.624,,
CN(C)CCOC(=O)C=C,0.223333333,,
CCCCC(CC)COC(Cl)=O,0.26,,
CCO[Si](CCCN=C=O)(OCC)OCC,10.5,,
CO[Si](OC)OC,61,,
CCC=C,10000,,
CCC\C=C\C,8050,,
CCCCCCC(Cl)=O,0.4,,
[Na+].CCC(C)OC(S)=S,7.69,,
CC(O)COC(C)CO,0.17,,
CCCCCCC\C=C\C,8050,,
CCCCCCC(C)(C)S,7.04,,
CCCC=C,19.6,,
CCCC\C=C\CC,8050,,
C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C,1.32,,
CC\C=C/C#N,850,,
C[Si](C)(O[Si](C)(C)C=C)C=C,246,,
Cc1ccc(cc1N=C=O)N=C=O,66,,
CCCCCCCCN1SC=CC1=O,0.27,,
CCCCCC(C)C,33.52,,
CC(C)(C)c1ccc(O[P@]2OC[C@]3(CO2)CO[P@](OC3)Oc4ccc(cc4C(C)(C)C)C(C)(C)C)c(c1)C(C)(C)C,2,,
CC(C)(C)CCCCCC(=O)OOC(C)(C)C,48.225,,
CC(C)(C)CCCCCC(=O)OOC(C)(C)c1ccccc1,20.4,,
CCN1CCCC1=O,5.1,,
CCC(C)(CCC(C)C)C(O)=O,3,,
CCCCCCCCCCCCCCC=C,8050,,
CCCCCCCCCCCCCCCCC=C,8050,,
[Na+].CC(C)Cc1cc2ccccc2c(c1CC(C)C)[S]([O-])(=O)=O,0.9365,,
CCCCCC\C=C\C,8050,,
CO[Si](OC)(OC)C=C,2773,,
COC(=O)[C@H](C)O,5.4,,
[nH]1cccn1,0.37,,
Clc1cccc(c1)N=C=O,0.046333333,,
